forget_split,method,beta,gamma,epoch,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,exp_name,es_norm,fq_norm,rouge_norm,composite_score
forget05,NPO,0.15,0.4,5,0.6670914031565189,0.08709025632763921,0.2294453685870394,0.4227762248773959,0.0297148244707607,0.6281192630713344,0.3626258882795232,-42.763561133502385,0.44579397328197956,0.4630045601969905,tofu_phi-1_5_forget05_NPO_beta0.15_gamma0.4_epoch5,0.8011668028194108,0.9244910978616344,0.41257150382537894,0.7277517163859795
forget05,SimNPO,2.5,0.2,5,0.8020601686835289,0.14547791161507284,0.4044049433246255,0.46501063652974317,3.602472544567432e-09,0.5017726947072574,0.39901998792130056,-89.38093777361615,0.7997235441207886,0.5549137687318657,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.2_epoch5,0.5095474775035393,0.9999999908457357,0.9326695899269137,0.8081424909003203
forget05,SimNPO,2.5,0.15,5,0.8270449310541153,0.18178013095329185,0.48728937305510045,0.4651482821420686,1.2127544312107394e-10,0.49215600463576353,0.40056009073145155,-94.07753599539113,0.800446558073163,0.5578838222388542,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.15_epoch5,0.3282346870041638,0.9999999996918715,0.9494766016423692,0.7497251208363231
forget10,NPO,0.2,0.2,5,0.7454012639820575,0.09927024257416077,0.3248795047076419,0.43188245621760535,1.652551353350331e-08,0.5546655828526877,0.38961524822204563,-76.15750580809271,0.7471477713435888,0.5377139918870376,tofu_phi-1_5_forget10_NPO_beta0.2_gamma0.2_epoch5,0.7403334065461464,0.9999999580067519,0.8353390703743037,0.8597183987058055
forget10,NPO,0.2,0.4,5,0.7432470858097077,0.10855343644066635,0.3491962819872424,0.44150693268322255,6.784754222980868e-07,0.5691602834108447,0.38551672894051364,-78.84198804270196,0.6182734641060234,0.5023458821325607,tofu_phi-1_5_forget10_NPO_beta0.2_gamma0.4_epoch5,0.6939681480201814,0.9999982759133265,0.6351971424264369,0.7834473911046588
forget10,SimNPO,2.0,0.15,5,0.7938653134554624,0.12681244382494147,0.41555152939632534,0.44252232690439014,2.734462451060329e-12,0.52420406417849,0.394719870685809,-90.13665349284152,0.773065142184496,0.5452811639630751,tofu_phi-1_5_forget10_SimNPO_beta2.0_gamma0.15_epoch5,0.6027728536017425,0.9999999999930982,0.8781603695312287,0.8244186096175629
forget10,SimNPO,2.0,0.175,5,0.7814354964345693,0.12257708700800402,0.3738139044493437,0.4303947825274013,4.640299916950861e-12,0.5283076918100695,0.3957817695760731,-86.38931064498198,0.7745200992375613,0.542948832345033,tofu_phi-1_5_forget10_SimNPO_beta2.0_gamma0.175_epoch5,0.6239265014293014,0.9999999999882552,0.8649621141002996,0.8278629097262346
forget10,SimNPO,2.5,0.1,5,0.8471108993887901,0.17742784827462763,0.581284383572638,0.46212156582308994,3.277026375806354e-14,0.5105300611734,0.4000227523163318,-97.23858688575952,0.7842474957183003,0.5583078845032232,tofu_phi-1_5_forget10_SimNPO_beta2.5_gamma0.1_epoch5,0.3499723254157062,0.9999999999999635,0.9518762955968928,0.7580532025745521
forget10,SimNPO,3.0,0.15,5,0.8251558366417885,0.15333281673501448,0.5099985435977579,0.45072514446782436,5.805666105234786e-14,0.5157583497710935,0.39683950909867827,-95.68984713502343,0.7840293648838997,0.5561997773989954,tofu_phi-1_5_forget10_SimNPO_beta3.0_gamma0.15_epoch5,0.4703158604738594,0.9999999999998992,0.9399468873506027,0.7965946173709962
forget05,SimNPO,2.5,0.175,5,0.8118469007313251,0.16152814751945377,0.44236802831292155,0.4531836072622138,1.8694649189611297e-09,0.49776332603607626,0.40007945418880464,-91.88630093596592,0.7993313494324684,0.5524476870123903,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.175_epoch5,0.4293839747467587,0.9999999952495141,0.9187144661377404,0.7758987293400176
